t,x,y
0,1.223291894,66.8732902
0.033288889,3.262111717,66.46552624
0.066611111,4.893167576,64.83447038
0.099933333,7.339751364,64.42670641
0.133211111,8.563043257,64.01894245
0.166522222,11.41739101,63.20341452
0.199855556,13.8639748,61.1645947
0.233144444,16.71832255,59.9413028
0.266455556,19.5726703,58.71801091
0.299755556,23.65030995,56.27142712
0.333111111,26.91242167,55.04813523
0.366388889,30.99006131,52.19378747
0.3997,35.88322889,50.97049558
0.433022222,40.3686325,48.52391179
0.4663,45.26180007,45.26180007
0.4996,50.15496765,42.81521629
0.5329,56.27142712,39.96086853
0.566211111,61.1645947,37.10652078
0.599522222,67.31651164,34.08525576
0.632822222,71.68660806,31.52256337
0.666133333,77.35745411,28.42561898
0.699433333,84.59258706,24.68819266
0.732755556,91.04566155,21.41357381
0.766033333,100.7176993,17.12608651
0.799355556,110.0962705,11.00962705
0.832666667,118.2515497,6.524223434
